name,svg,lottie
Fire-heart.json,https://fonts.gstatic.com/s/e/notoemoji/latest/2764_fe0f_200d_1f525/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2764_fe0f_200d_1f525/lottie.json
Kiss.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f48b/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f48b/lottie.json
Footprints.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f463/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f463/lottie.json
Anatomical-heart.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1fac0/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1fac0/lottie.json
Blood.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1fa78/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1fa78/lottie.json
Microbe.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f9a0/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f9a0/lottie.json
Skull.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f480/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f480/lottie.json
Eyes.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f440/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f440/lottie.json
Eye.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f441_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f441_fe0f/lottie.json
Biting-lip.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1fae6/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1fae6/lottie.json
Leg-mechanical.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f9bf/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f9bf/lottie.json
Arm-mechanical.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f9be/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f9be/lottie.json
Muscle.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa/lottie.json
Muscle-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fb/lottie.json
Muscle-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fc/lottie.json
Muscle-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fd/lottie.json
Muscle-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3fe/lottie.json
Muscle-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4aa_1f3ff/lottie.json
Clap.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f/lottie.json
Clap-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fb/lottie.json
Clap-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fc/lottie.json
Clap-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fd/lottie.json
Clap-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3fe/lottie.json
Clap-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44f_1f3ff/lottie.json
Thumbs-up.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d/lottie.json
Thumbs-up-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fb/lottie.json
Thumbs-up-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fc/lottie.json
